id,last_scraped,description,neighborhood_overview,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,calendar_updated,has_availability,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month
5811422,28/09/2025,"Basement studio room w private bathroom.  Unfinished ceiling & only 1 window but well lit room w good space.  Features a queen size memory foam bed, private bathroom, & separate entrance from other living spaces in the house.  Kitchenette area w granite counters, cabinets refrigerator","This is an excellent location, featuring a beautiful house in a wonderful neighbohood, nearby Central Square and Inman square, with the Red Line Subway, Bus routes,  excellent restaurants, Whole Foods, and much more in short walking distance.",12576232,25/02/2014,within a day,80%,88%,,The Port,42.37067,-71.09913,Entire rental unit,Entire home/apt,2,1,1 bath,1,1,"[""Hot water"", ""Wifi"", ""TV"", ""Air conditioning"", ""Dishes and silverware"", ""Dryer"", ""Hangers"", ""Refrigerator"", ""Kitchen"", ""Microwave"", ""Smoke alarm"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Essentials"", ""Washer"", ""Shampoo"", ""Heating""]",$127.00,32,730,,t,53,4.43,4.6,4.62,4.8,4.88,4.84,4.45,,f,6,2,4,0.43
5857136,28/09/2025,"Lovely renovated 2 bedrm apt. Walk to Harvard,  run at Reservoir or eat at Formaggio's or High Rise Bakery. One block to Harvard -Smithsonian. Eat-in kitchen with granite counters, dining room, bright comfy living room, renovated bath.","Wonderful walking neighborhood. Harvard sq, park and reservoir all easy walk. Many great cafes, restaurants and shops close by. Foodies will appreciate nearby Huron village.",1260886,07/10/2011,within an hour,100%,100%,f,Neighborhood Nine,42.3849,-71.1304,Entire rental unit,Entire home/apt,4,1,1 bath,2,3,"[""TV with standard cable"", ""Hangers"", ""Books and reading material"", ""Essentials"", ""Wifi"", ""Window AC unit"", ""Fire extinguisher"", ""Oven"", ""Dishes and silverware"", ""Coffee maker"", ""Wine glasses"", ""Microwave"", ""Carbon monoxide alarm"", ""Iron"", ""Refrigerator"", ""Kitchen"", ""Toaster"", ""Dishwasher"", ""Stove"", ""Smoke alarm"", ""Free parking on premises"", ""Heating""]",$350.00,2,1125,,t,221,4.86,4.92,4.92,4.96,4.95,4.85,4.7,C0234160491,f,2,2,0,1.74
6106691,28/09/2025,Welcome to our newly remodeled Victorian home!  <br />- Traditional soapstone counters and luxury Japanese soaking tub  <br />- Two bedrooms with queen-sized beds and workspace options  <br />- High-end inflatable airbed available for extra guests  <br />- Beautifully gardened yard for relaxation  <br />- Off-street parking space available  <br />- Steps from gourmet grocery stores and restaurants  <br />- Close to Harvard University and Cambridge Historical Society,"Nestled up to Harvard and surrounds the neighborhood is quiet, well established, and beautiful with a lot of history and many famous residents past and current.  <br /><br />Located in the neighborhood of Cambridge called Huron Village, the home is blocks away from the historic Longfellow house, Harvard, MIT, Radcliffe, Leslie and the entire area exudes Victorian charm.  <br /><br />There is easy and quick access to local stores, tree lines streets, and it offers exceptionally easy access to all things Cambridge and Boston, no car required!",8824696,14/09/2013,within an hour,100%,99%,t,West Cambridge,42.38085,-71.13546,Entire home,Entire home/apt,6,1,1 bath,2,2,"[""Cleaning available during stay"", ""High chair"", ""Fast wifi \u2013 462 Mbps"", ""Coffee"", ""Outdoor dining area"", ""Hangers"", ""First aid kit"", ""Outdoor furniture"", ""Bikes"", ""Books and reading material"", ""Essentials"", ""Dining table"", ""Fire extinguisher"", ""BBQ grill"", ""Oven"", ""Paid parking off premises"", ""Hot water kettle"", ""Dishes and silverware"", ""Coffee maker"", ""Wine glasses"", ""Microwave"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Free washer \u2013 In building"", ""Shampoo"", ""Hot water"", ""Baking sheet"", ""Hair dryer"", ""Iron"", ""Ethernet connection"", ""Smart lock"", ""Long term stays allowed"", ""Refrigerator"", ""Dedicated workspace"", ""Rice maker"", ""Kitchen"", ""Self check-in"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Toaster"", ""Free dryer \u2013 In building"", ""Exterior security cameras on property"", ""Blender"", ""55 inch HDTV with Amazon Prime Video, Fire TV, Disney+, Hulu, Netflix"", ""Dishwasher"", ""Stove"", ""Freezer"", ""Smoke alarm"", ""Free parking on premises"", ""Paid parking on premises \u2013 1 space"", ""Luggage dropoff allowed"", ""Central air conditioning"", ""Heating""]",$281.00,30,365,,t,206,4.71,4.69,4.77,4.93,4.94,4.89,4.55,STR-13324,f,2,2,0,1.64
6185544,28/09/2025,"This apartment is on the second floor of a 2 family house in a quiet residential area. Parking for 1 car behind the house. Fully furnished and beautifully decorated place. One queen, one full, and one twin size bed. Pack and Play, high chair and basin for baby is available. Only 5 min walk to red line Alewife subway station. Easy access to Harvard, MIT, Boston. Walking distance to trendy Davis Sq, Fresh Pond and Porter Sq for shopping, restaurants and cinema.","Quiet residential neighborhood. Next to a very popular bike path (great for walking, jogging, or biking). 15 min walk to a trendy Davis Square.",21745230,24/09/2014,within an hour,100%,97%,t,North Cambridge,42.3965,-71.1367,Entire home,Entire home/apt,5,2,2 baths,3,3,"[""Cleaning available during stay"", ""TV with standard cable"", ""Clothing storage: closet"", ""Air conditioning"", ""Coffee"", ""Outdoor dining area"", ""Dryer"", ""Hangers"", ""Heating"", ""First aid kit"", ""Outdoor furniture"", ""Various body soap"", ""Shared BBQ grill: gas"", ""Books and reading material"", ""Extra pillows and blankets"", ""Coffee maker: pour-over coffee"", ""Children\u2019s dinnerware"", ""Essentials"", ""Laundromat nearby"", ""Wifi"", ""Fire extinguisher"", ""Dining table"", ""Mini fridge"", ""Oven"", ""Keypad"", ""Hot water kettle"", ""Various conditioner"", ""Dishes and silverware"", ""Wine glasses"", ""Microwave"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Portable fans"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Drying rack for clothing"", ""Hot water"", ""Children\u2019s books and toys for ages 2-5 years old"", ""Hair dryer"", ""Iron"", ""Baking sheet"", ""Shared backyard \u2013 Fully fenced"", ""Long term stays allowed"", ""Refrigerator"", ""Safe"", ""Dedicated workspace"", ""Kitchen"", ""Rice maker"", ""Self check-in"", ""Ceiling fan"", ""Toaster"", ""Blender"", ""Exterior security cameras on property"", ""Barbecue utensils"", ""Folding or convertible high chair - always at the listing"", ""Room-darkening shades"", ""Crib"", ""Dishwasher"", ""Stove"", ""Freezer"", ""Smoke alarm"", ""Free parking on premises"", ""Cleaning products"", ""Shower gel"", ""Luggage dropoff allowed"", ""Washer"", ""Private entrance"", ""Bathtub""]",$194.00,1,1125,,t,186,4.92,4.9,4.94,4.94,4.98,4.9,4.77,STR-13504,f,7,2,5,1.5
6185571,28/09/2025,"The perfect place to stay in Cambridge:<br />The room on the second floor w/private bath/fridge/microwave/wifi, only 5 minute from Alewife redline T-stop, 15 minute walk to Fresh Pond, Davis and Porter Sq for shopping, restaurants, clubs and cinema. Only few stops from Harvard, MIT and Boston. The Blue bike share station is also conveniently located next to Alewife, and safe biking path takes you to Harvard, MIT and Boston or in the other direction to Arlington, Lexington, and Concord.","It's a quiet, residential area but with convenient access to T, Davis, Square (15 min walk), Porter Square (5 min car or bike ride), 10 min subway ride to Harvard Square, 20 min to downtown Boston.",21745230,24/09/2014,within an hour,100%,97%,t,North Cambridge,42.39671,-71.13664,Private room in home,Private room,1,1,1 bath,1,1,"[""Cleaning available during stay"", ""Air conditioning"", ""Coffee"", ""Outdoor dining area"", ""Dryer"", ""Hangers"", ""First aid kit"", ""Outdoor furniture"", ""Shared BBQ grill: gas"", ""Various body soap"", ""Extra pillows and blankets"", ""Essentials"", ""Wifi"", ""Fire extinguisher"", ""Mini fridge"", ""Keypad"", ""Hot water kettle"", ""Various conditioner"", ""Dishes and silverware"", ""Coffee maker"", ""Wine glasses"", ""Microwave"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Drying rack for clothing"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Clothing storage: wardrobe"", ""Long term stays allowed"", ""Refrigerator"", ""Dedicated workspace"", ""Self check-in"", ""Toaster"", ""Exterior security cameras on property"", ""Free street parking"", ""Room-darkening shades"", ""Shared backyard \u2013 Not fully fenced"", ""Smoke alarm"", ""Lock on bedroom door"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Shower gel"", ""Washer"", ""Private entrance"", ""Heating""]",$81.00,1,1125,,t,189,4.95,4.93,4.99,4.97,4.97,4.86,4.87,STR-13504,f,7,2,5,1.52
6261046,28/09/2025,"First floor apartment located in our 2 family home. Located in-between  Harvard, Central and  Inman Squares.  <br /><br />I live in a separate apartment upstairs with my husband and 2 teen children and our cat Fudge. <br /><br />City of Cambridge Inspected and Licensed as a LEGAL short term rental apartment.<br /><br />No pets!<br /><br />Registration No. STR-246298 with the City of Cambridge,MA","Apartment is in a great location within a 10-15 minute walk to Harvard, Central and Inman Squares! tons of restaurants, shopping and markets nearby as well as greenspaces and public transportation. Walkers paradise!",32531388,03/05/2015,within an hour,100%,100%,t,Mid-Cambridge,42.3703386,-71.1049896,Entire rental unit,Entire home/apt,5,1,1 bath,2,3,"[""Cleaning available during stay"", ""Coffee"", ""Hangers"", ""First aid kit"", ""Outdoor furniture"", ""Paid street parking off premises"", ""Extra pillows and blankets"", ""Children\u2019s dinnerware"", ""Essentials"", ""Frigadair refrigerator"", ""Coffee maker: Keurig coffee machine"", ""Window AC unit"", ""Fire extinguisher"", ""Dining table"", ""Laundromat nearby"", ""Shared patio or balcony"", ""Keypad"", ""Dishes and silverware"", ""Wine glasses"", ""Microwave"", ""Cooking basics"", ""Portable fans"", ""Carbon monoxide alarm"", ""Babysitter recommendations"", ""Free washer \u2013 In building"", ""KitchenAid gas stove"", ""Bed linens"", ""Hot water"", ""Baking sheet"", ""Hair dryer"", ""Tresemme  shampoo"", ""Iron"", ""Dedicated workspace"", ""Kitchen"", ""Self check-in"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Ceiling fan"", ""Toaster"", ""Free dryer \u2013 In building"", ""Exterior security cameras on property"", ""Folding or convertible high chair"", ""Free street parking"", ""Board games"", ""Suave body soap"", ""Clothing storage: closet, wardrobe, and dresser"", ""Tres emme conditioner"", ""Room-darkening shades"", ""50 inch HDTV with Amazon Prime Video, Netflix"", ""Crib"", ""Central heating"", ""Fast wifi \u2013 229 Mbps"", ""Smoke alarm"", ""Freezer"", ""Kitchenaid single oven"", ""Cleaning products"", ""Shower gel"", ""Free parking on premises"", ""Private entrance"", ""Bathtub""]",$247.00,2,28,,t,123,4.91,4.95,4.92,5,4.98,4.97,4.8,STR-24629,f,1,1,0,5.26
6363476,28/09/2025,"Step into history with this Philadelphia-style apartment in the Garfield Historical District. In a 1900 Victorian 2-family house, enjoy spacious comfort with a second-floor bedroom. A reserved driveway parking spot adds convenience to your stay. WIth just a 17-minute stroll to Harvard Square and five blocks to Porter Square, location is key. Groceries from Star Market, delightful cafes, and a plethora of restaurants are at your fingertips, adding ease to your Cambridge experience.","Here are some benefits of choosing our 2-bedroom apartment in Cambridge:<br /><br />- Typically more cost-effective than booking two hotel rooms<br />- More spacious than a standard hotel room, providing guests room to relax<br />- Savings of $35/night with an included parking space<br />- Fully equipped kitchen for preparing meals and storing snacks, saving dining out costs<br />- Authentic city-living experience in a residential neighborhood<br /><br />Your considerations of 17 Traymore are valued. However, please note this apartment may not suit if you intend to host guests. Review house rules before booking.<br /><br />Located in Cambridge's Baldwin (formerly Agassiz) neighborhood / Garfield Historical District, often historically referred to as North Harvard due to its proximity to Harvard Yard, Harvard Law, and Lesley University. The district beautifully blends academic buildings, student housing, and Victorian wood-frame houses. With around 5,000 residents, it's a cozy, moderate",33155440,11/05/2015,within an hour,100%,90%,t,Agassiz,42.38411,-71.11523,Entire rental unit,Entire home/apt,5,1,1 bath,2,3,"[""TV with standard cable"", ""Coffee"", ""Hangers"", ""First aid kit"", ""Books and reading material"", ""Extra pillows and blankets"", ""Essentials"", ""Coffee maker: Keurig coffee machine"", ""Laundromat nearby"", ""Window AC unit"", ""Fire extinguisher"", ""N/A - Changes conditioner"", ""Wifi"", ""Oven"", ""Dining table"", ""Hot water kettle"", ""Keypad"", ""Clothing storage: closet and dresser"", ""Dishes and silverware"", ""Wine glasses"", ""Microwave"", ""Cooking basics"", ""Portable fans"", ""Carbon monoxide alarm"", ""Bed linens"", ""Hot water"", ""Baking sheet"", ""Hair dryer"", ""Iron"", ""Pantene shampoo"", ""Refrigerator"", ""Dedicated workspace"", ""Kitchen"", ""Self check-in"", ""Toaster"", ""Free washer \u2013 In unit"", ""Gas stove"", ""Dial body soap"", ""Dishwasher"", ""Room-darkening shades"", ""Freezer"", ""Smoke alarm"", ""Free parking on premises"", ""Cleaning products"", ""Free dryer \u2013 In unit"", ""Private entrance"", ""Heating""]",$420.00,4,27,,t,223,4.97,4.99,4.98,5,4.98,4.96,4.84,STR-13655,t,1,1,0,2.3
6374780,28/09/2025,"Spacious, sunny 2 bedroom, 6 room 1st floor of two-family, private entrance.<br />7-minute walk to Davis Sq & T-station, 1 min to Mass Ave bus.  Queen and twin bed,  Ful furnshd din rm, livrm, kit, washer/dryer.<br />Grt Location! (no pets) 4 month minimum stay!","North Cambridge  ( NoCa) is a wonderful quiet neighborhood, and Hollis is one of the nicest streets in NoCa! It is a one way street, and traffic on the street is pretty light. Massachusetts ave is just abut 100 yards up, and within a 5 minute walk you will find many fine restaurants ( two sushi, one Greek, one Italian, one Vietnamese- French, one steak house, one Chinese), a produce market, a dry cleaner, and three banks. There is a CVS in Porter square, about a 10 minute walk on Mass Avenue, and the MINUTE CLINIC there is open 8am- 7 pm.<br />Additionally, at the end of Rindge Avenue end of Hollis, you will find branch of the Cambridge Public Library, and great play ground with both  toddler and ""big kid"" sections, ball fields, and tennis courts.<br />And if you are looking for more night life, Davis Square, with a huge variety of restaurants, bars, gift shops, and hipsters, is  about a 7 minute walk.",25354687,29/12/2014,N/A,N/A,N/A,f,North Cambridge,42.39525,-71.12717,Entire rental unit,Entire home/apt,4,1,1 bath,2,2,"[""Wifi"", ""TV with standard cable"", ""Air conditioning"", ""Dryer"", ""First aid kit"", ""Kitchen"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Essentials"", ""Washer"", ""Fire extinguisher"", ""Heating""]",$185.00,120,1125,,t,5,5,5,5,5,4.8,5,4.8,,f,1,1,0,0.04
6473781,28/09/2025,"A charming single family home in walking distance to MIT/Harvard and a stone's throw from Boston. 2000 sq feet, big enclosed yard with outdoor patio with gas fire-pit and grill, and trampoline. Five bedroom, 21/2 bath, living & family rooms, refinished basement w/play space and laundry in unit. Central Air. Driveway fits 2 cars (and has bball hoop). Pets okay. Ask about dates if not listed. Additional guests are possible. Family friendly: games and bikes are available for use.","In our Cambridgeport neighborhood, you can walk to restaurants, cafes, and shops in Central and Harvard Squares, grocery stores (Whole Foods and Trader Joes), and the Charles River.  Dana Park (with sprinkler and playground) is a block away in this safe and family-friendly neighborhood, rich in diversity and culture.  You can bike into Boston along the Charles, go to the Red Sox, ride the swan boats in the Boston Common, visit the MFA, Aquarium, Science Museum, and much more!",33820072,20/05/2015,within an hour,100%,71%,,Cambridgeport,42.35983,-71.10667,Entire home,Entire home/apt,8,,2.5 baths,5,,"[""Conditioner"", ""Pets allowed"", ""High chair"", ""TV"", ""Coffee"", ""Children\u2019s bikes"", ""Outdoor dining area"", ""Dryer"", ""Hangers"", ""Lockbox"", ""Books and reading material"", ""Extra pillows and blankets"", ""Patio or balcony"", ""Essentials"", ""Wifi"", ""Oven"", ""Body soap"", ""Hot water kettle"", ""Dishes and silverware"", ""Coffee maker"", ""Baby safety gates"", ""Microwave"", ""Children's playroom"", ""Wine glasses"", ""Cooking basics"", ""Portable fans"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hot water"", ""Baking sheet"", ""Hair dryer"", ""Iron"", ""Refrigerator"", ""Safe"", ""Dedicated workspace"", ""Ping pong table"", ""Kitchen"", ""Self check-in"", ""Ceiling fan"", ""Toaster"", ""Children\u2019s books and toys"", ""Blender"", ""Free street parking"", ""Board games"", ""Private backyard \u2013 Fully fenced"", ""Barbecue utensils"", ""Game console"", ""BBQ grill: gas"", ""Indoor fireplace"", ""Piano"", ""Dishwasher"", ""Central heating"", ""Freezer"", ""Stove"", ""Smoke alarm"", ""Free parking on premises"", ""Cleaning products"", ""Central air conditioning"", ""Washer"", ""Bathtub""]",,3,1125,,t,29,4.83,4.72,4.93,4.96,4.96,4.93,4.79,STR-13444,f,1,1,0,0.23
6599485,28/09/2025,"This garden view room is private, clean and convenient to Harvard, MIT and Boston.  This room is in the safest and best neighborhood in the Cambridge area. Close to Harvard T Station, 15 min walk, 5 min. bus ride. <br />The room has a queen size bed, closet and a garden view window.    Wi_Fi.<br />Great food located just down the street, at Sarah's or from one of Cambridge's best bakeries, Hi Rise Bakery. <br />Hard wood floored.  Great room for any guest.",,6438360,17/05/2013,within an hour,100%,100%,f,Neighborhood Nine,42.38461,-71.135,Private room in rental unit,Private room,2,1,1 shared bath,1,1,"[""Conditioner"", ""TV with standard cable"", ""Coffee"", ""Heating"", ""Hangers"", ""First aid kit"", ""Outdoor furniture"", ""BBQ grill: charcoal"", ""Free dryer"", ""Extra pillows and blankets"", ""Private backyard"", ""Essentials"", ""Window AC unit"", ""Fire extinguisher"", ""Wifi"", ""Dining table"", ""Hot water kettle"", ""Clothing storage: closet and dresser"", ""Dishes and silverware"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Free washer \u2013 In building"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Baking sheet"", ""Hair dryer"", ""Iron"", ""Ethernet connection"", ""Stainless steel oven"", ""Long term stays allowed"", ""Refrigerator"", ""Safe"", ""Dedicated workspace"", ""Kitchen"", ""Toaster"", ""Blender"", ""Free street parking"", ""Barbecue utensils"", ""Coffee maker: espresso machine"", ""Room-darkening shades"", ""Freezer"", ""Smoke alarm"", ""Lock on bedroom door"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Private entrance"", ""Bathtub""]",$67.00,1,120,,t,321,4.64,4.73,4.45,4.96,4.94,4.87,4.69,,f,1,0,1,2.59
6702823,28/09/2025,"Can't beat this location! Two blocks from Central square T station and easy access to everything: restaurants, supermarket, post office, banks, etc. Walking distance to Harvard and MIT. Quiet and safe neighborhood. Professionally managed building.","Quiet, safe neighborhood with lots of restaurants near by. Located right between Harvard and MIT. Two blocks away from Central Square and T station.",25012699,19/12/2014,within an hour,100%,64%,t,Mid-Cambridge,42.36858,-71.1057,Private room in condo,Private room,1,,1.5 shared baths,,,"[""Whirlpool gas stove"", ""24 inch HDTV with Amazon Prime Video, Netflix"", ""Host greets you"", ""Hangers"", ""First aid kit"", ""Extra pillows and blankets"", ""Essentials"", ""Wifi"", ""Fire extinguisher"", ""Oven"", ""Paid washer \u2013 In building"", ""Dishes and silverware"", ""Coffee maker"", ""Microwave"", ""Elevator"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Ethernet connection"", ""Refrigerator"", ""Dedicated workspace"", ""Kitchen"", ""Portable air conditioning"", ""Dishwasher"", ""Paid dryer \u2013 In building"", ""Smoke alarm"", ""Heating""]",,3,60,,t,87,4.87,4.94,4.93,4.92,4.93,4.92,4.66,STR-13696,f,2,0,2,0.69
6761641,28/09/2025,"This pet friendly, raised first floor unit in an historic Harlowe building is the perfect home base to enjoy Cambridge/Boston & all of New England, conduct your research, work from home, teach your course, or just relax in the many public open spaces or our building's quiet private back yard. Sidewalks and roads in this area are always very clear in the winter making it easy to be outdoors.<br /><br />Condo association requires 3 months minimum. No sort term rentals. 12 month lease preferred.","Incredible location between Harvard Square, the Law School, the Observatory, and the Charles River. <br /><br />I love listening to the amazing conversations as I'm out and about, or even sitting in my living room with the windows open. Most of my neighbors are retired professors, researchers, or graduate students. An interesting number of architects as well.<br /><br />Harvard, MIT and Tufts host fascinating lectures and short courses that are open to the public and feature some of the greatest minds in the world.<br /><br />The Harvard Observatory is a two minute walk from the flat. They host star gazing events on a regular basis.",3616967,19/09/2012,within an hour,100%,N/A,f,West Cambridge,42.37921,-71.12535,Entire condo,Entire home/apt,3,1,1 bath,2,2,"[""Pets allowed"", ""TV"", ""Dryer"", ""Hangers"", ""First aid kit"", ""Extra pillows and blankets"", ""Essentials"", ""Fire extinguisher"", ""Oven"", ""Hot water kettle"", ""Paid washer \u2013 In building"", ""Dishes and silverware"", ""Microwave"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Shared backyard \u2013 Fully fenced"", ""Long term stays allowed"", ""Refrigerator"", ""Kitchen"", ""Toaster"", ""Dishwasher"", ""Freezer"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Gas stove"", ""Heating""]",$255.00,91,1125,,t,2,4,4,3.5,5,5,4,4,,f,1,1,0,0.02
6847242,28/09/2025,"The room has a double bed and is on the third floor, cozy and quiet, among the tree tops. At night you have the stars, and by day the room is light and sunny. <br /><br />The room has wide, old pine board flooring, a sky light with a room-darkening shade, mini-split, closet, dresser,  large desk with office supplies, yoga mat, full length mirror, and a fan.  <br /><br />This bedroom shares a full bathroom with the other third floor bedroom which is also rented through Airbnb.","This neighborhood is very special in that it is quiet, you can hear birdsong most times of the day, there are lovely gardens all around.  And you will be just 3 blocks from Massachusetts Avenue (Mass Ave), the busiest street in Boston/Cambridge. Or, if you are here in winter, the quiet of the cold air is lovely too, and if we are lucky, you'll see snow!   <br /><br />Along Mass Ave, you can walk to many local run businesses of every sort: gift shops (Joie de Vivre, Nomad, Abodeon, Tokai), coffee shops (Simons, Hi-Rise, Starbucks) and so many restaurants of every ethnicity (Indian, Japanese, Thai, Italian, Mexican, American).  You can take a walk from here to the Charles River, through Harvard Square.  You can stroll down Mass Ave to Central Square where there is a whole new world waiting for you, but just as Cambridge as any other place!  Somerville is just minutes away too (Davis Square, Inman Square, Union Square), and it is an amazingly rich community for music, food and funky shops",35879509,15/06/2015,within a few hours,100%,92%,t,Neighborhood Nine,42.38469,-71.12199,Private room in home,Private room,1,1,1 shared bath,1,1,"[""Conditioner"", ""Air conditioning"", ""Host greets you"", ""Dryer"", ""Hangers"", ""Heating"", ""First aid kit"", ""Breakfast"", ""Extra pillows and blankets"", ""Essentials"", ""Wifi"", ""Body soap"", ""Dishes and silverware"", ""Coffee maker"", ""Microwave"", ""Portable fans"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Drying rack for clothing"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Refrigerator"", ""Dedicated workspace"", ""Kitchen"", ""Free street parking"", ""Clothing storage"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Shower gel"", ""Backyard"", ""Washer"", ""Bathtub""]",$134.00,2,100,,t,318,4.98,4.98,4.95,4.97,4.98,4.98,4.92,STR-48801,f,2,0,2,2.58
6947733,28/09/2025,"The room has a full bed and is on the third floor, cozy and quiet, among the tree tops. At night you have the stars, and by day the room is light and sunny. <br /><br />The room has wide, old pine board flooring, a sky light with a room-darkening shade, mini-split, closet, dresser,  large desk with office supplies, yoga mat, full length mirror, and a fan.  <br /><br />This bedroom shares a full bathroom with the other third floor bedroom which is also rented through Airbnb.","This neighborhood is very special in that it is quiet, you can hear birdsong most times of the day, there are lovely gardens all around, lush trees and plantings and yet you will be just 3 blocks from Massachusetts Avenue (Mass Ave), the busiest street in Boston/Cambridge.  In this locale along Mass Ave, there are countless local run businesses of every sort, (gift shops (Joie de Vivre, Nomad, Abodeon, Irish and Japanese), liquor shops (University Wines), coffee shops (Simons, Hi-Rise) and countless restaurants (too many to mention) of every ethnicity.  You can take a walk from here to the Charles River, perhaps through Harvard Square.  You can stroll down Mass Ave to Central Square where there is a whole new world waiting for you, but just as Cambridge as any other place!  Somerville is just minutes away too, and it is an amazingly rich community for music, food and funky shops and cafes.  If you want to go into the Big City, hop on the red line (subway) and in minutes you will stroll",35879509,15/06/2015,within a few hours,100%,92%,t,Neighborhood Nine,42.38321,-71.12094,Private room in home,Private room,1,1,1 shared bath,1,1,"[""Air conditioning"", ""Coffee"", ""Host greets you"", ""Dryer"", ""Hangers"", ""First aid kit"", ""Breakfast"", ""Extra pillows and blankets"", ""Wifi"", ""Dining table"", ""Heating - split type ductless system"", ""Microwave"", ""Portable fans"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Refrigerator"", ""Dedicated workspace"", ""Free street parking"", ""Dishwasher"", ""Free driveway parking on premises"", ""Central heating"", ""Stove"", ""Smoke alarm"", ""Cleaning products"", ""Shower gel"", ""Backyard"", ""Washer"", ""Bathtub""]",$110.00,2,100,,t,280,4.98,4.98,4.97,4.99,4.99,4.96,4.91,STR-48801,f,2,0,2,2.25
6949378,28/09/2025,"Design & sophistication in Kendall Square. Near MIT, innovative restaurants with all types of cuisine, shopping centers, and the proximity to the Kendall/MIT metro make this apartment your perfect HQ to explore Cambridge and Boston. Enjoy the panoramic views from your home, its spacious floor plan, the designer kitchen, and oversized windows and closets. This community near the Charles River offers a modern fitness center, concierge services, a Zen garden, a lush clubhouse, and a sundeck.","Live in the most exciting and vibrant neighborhood of Massachusetts. Kendall Square is a brimming area with cutting edge technology, science, design, innovation, creative restaurants, and fist-class shopping and is only a couple of metro stations away from downtown Boston. Take a few steps down the street and wander around the renowned Massachusetts Institute of Technology campus. Continue the knowledge tour at the Harvard University campus, where you’ll find peace and relax in its beautiful gardens and historic buildings. Unwind at the Charles River banks and enjoy the fantastic Boston views, where many trails and bike paths offer a haven to enjoy nature and a healthy lifestyle. Just across the Charles River you will be in downtown Boston surrounded by its gorgeous Revolution-era architecture and historic landmarks. The apartment is located in a modern high-rise boasting spectacular views and world-class resident amenities including a fitness center, a Zen garden, a clubhouse, and ful",30283594,30/03/2015,within an hour,97%,99%,f,East Cambridge,42.363747,-71.083374,Entire serviced apartment,Entire home/apt,5,,2 baths,2,,"[""Conditioner"", ""Pets allowed"", ""Window guards"", ""TV"", ""Air conditioning"", ""Coffee"", ""Outdoor dining area"", ""Dryer"", ""Hangers"", ""Heating"", ""Extra pillows and blankets"", ""Paid parking garage on premises"", ""Essentials"", ""Crib - available upon request"", ""Wifi"", ""Dining table"", ""Oven"", ""Body soap"", ""Hot water kettle"", ""Building staff"", ""Dishes and silverware"", ""Coffee maker"", ""Wine glasses"", ""Microwave"", ""Elevator"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Baking sheet"", ""Hair dryer"", ""Iron"", ""Paid parking garage off premises"", ""Ethernet connection"", ""Long term stays allowed"", ""Refrigerator"", ""Dedicated workspace"", ""Kitchen"", ""Self check-in"", ""Toaster"", ""Blender"", ""Clothing storage"", ""Exercise equipment"", ""Dishwasher"", ""Stove"", ""Freezer"", ""Smoke alarm"", ""Cleaning products"", ""Shower gel"", ""Washer"", ""Bathtub""]",,31,1125,,t,18,4.5,4.83,4.67,4.93,4.65,4.87,4.67,C0281180491,t,6,6,0,0.15
